NTL,EVI,cec,bdod,phh2o,soc,nitrogen,sand,silt,clay
0.3500000238418579,0.21470459808868964,12.166666666666668,1.3766666666666665,5.633333333333334,11.266666666666667,9.076666666666668,51.43333333333334,27.1,21.500000000000004
0.36000001430511475,0.23092365442271345,11.796202531645571,1.3745710267229256,5.6209563994374125,11.329535864978904,9.40353023909986,49.395218002812946,28.139099859353024,22.45710267229255
0.34340336518127373,0.25703328308386986,11.546358543417364,1.3763515406162465,5.6,11.084243697478989,9.460539215686273,49.528291316526605,28.316876750700274,22.16953781512605
0.3765690675726882,0.24386105529724297,11.029479479479479,1.3815415415415415,5.6,12.518368368368368,9.610085085085085,52.408458458458455,28.694594594594598,18.868768768768767
0.3778825595285545,0.20421612122803814,10.886872281534204,1.3840332147093715,5.6,13.633451957295375,10.2385290628707,53.91261368129696,28.344049031237645,17.725860023724795
0.3903518517812093,0.20333953743049152,10.101851851851851,1.384567901234568,5.616296296296296,13.375308641975307,9.595765432098764,54.82185185185185,27.15888888888889,18.014567901234564
0.384691787092653,0.22230559464260655,10.294292237442923,1.3834931506849315,5.628995433789955,12.162785388127853,9.55436073059361,55.21232876712329,25.90981735159817,18.8662100456621
0.3708372132722722,0.23523929421151274,10.230490956072352,1.385751937984496,5.586821705426357,12.628992248062016,9.9211834625323,52.591214470284235,26.404806201550393,20.997002583979327
0.38423912162366114,0.2363931320800826,9.901328502415458,1.3764734299516905,5.533333333333333,12.558333333333332,9.316920289855071,50.321195652173905,26.92252415458937,22.758212560386472
0.36500000953674316,0.2307513407638826,10.8625,1.3720330459770116,5.533333333333333,11.582974137931036,8.862794540229887,51.143750000000004,25.978160919540233,22.875646551724138
0.4099999964237213,0.1987482941255671,11.679448621553885,1.3666666666666665,5.512907268170427,11.133333333333335,8.878984962406017,55.08182957393484,23.59987468671679,21.297869674185467
0.36000001430511475,0.24730739906580548,11.133333333333335,1.366666666666667,5.533333333333333,11.266666666666667,9.196666666666669,55.76666666666667,23.133333333333336,21.1
0.36000001430511475,0.16730624764269503,11.931292517006803,1.3767346938775513,5.633333333333334,10.731972789115645,9.428843537414966,56.10136054421769,28.3265306122449,15.572789115646259
0.38499999046325684,0.17647952073104098,11.637841043890862,1.3759430604982206,5.620284697508896,9.95077105575326,9.292799525504151,56.51008303677342,28.08695136417556,15.41601423487544
0.3318095097087679,0.2233553654379829,11.066857142857142,1.3740571428571433,5.6024126984126985,10.717968253968255,9.145638095238095,55.78603174603175,27.092063492063495,17.154285714285717
0.3250520136715997,0.19759569430711185,12.045253576072824,1.3797529258777632,5.611226701343736,12.41664499349805,9.346133506718681,54.984958820979614,26.842479410489815,18.17256176853056
0.3241379487103429,0.21677488005786796,11.758045977011493,1.3767816091954022,5.6419540229885055,11.451149425287356,9.175919540229886,52.88275862068966,26.75747126436782,20.368390804597706
0.35750000178813934,0.24754591613602742,10.983333333333333,1.375,5.6083333333333325,11.633333333333335,9.5,50.483333333333334,28.016666666666666,21.48333333333333
0.35999999940395355,0.25018050881554216,10.825,1.3833333333333335,5.583333333333333,11.758333333333333,9.565833333333334,50.175000000000004,29.424999999999997,20.39166666666667
0.3700000047683716,0.2499736376821264,10.141666666666666,1.3908333333333334,5.566666666666666,13.108333333333334,9.905833333333334,52.916666666666664,29.15,17.933333333333334
0.3799999952316284,0.1956455817283671,10.2,1.3883333333333334,5.583333333333332,12.966666666666667,9.881666666666666,53.75833333333333,28.666666666666664,17.575
